year_stocktake,year,total_emission,ff_emission,temp_anth,temp_anth_rel
2025,1751,0.003,,,
2025,1752,0.003,,,
2025,1753,0.003,,,
2025,1754,0.003,,,
2025,1755,0.003,,,
2025,1756,0.003,,,
2025,1757,0.003,,,
2025,1758,0.003,,,
2025,1759,0.003,,,
2025,1760,0.003,,,
2025,1761,0.003,,,
2025,1762,0.003,,,
2025,1763,0.003,,,
2025,1764,0.003,,,
2025,1765,0.0030000000000000022,0.0030000000000000022,,
2025,1766,0.0030000000000000022,0.0030000000000000022,,
2025,1767,0.0030000000000000022,0.0030000000000000022,,
2025,1768,0.0030000000000000022,0.0030000000000000022,,
2025,1769,0.0030000000000000022,0.0030000000000000022,,
2025,1770,0.0034947916666666673,0.0034947916666666673,,
2025,1771,0.004000000000000003,0.004000000000000003,,
2025,1772,0.004000000000000003,0.004000000000000003,,
2025,1773,0.004000000000000003,0.004000000000000003,,
2025,1774,0.004000000000000003,0.004000000000000003,,
2025,1775,0.10400000000000001,0.0040000000000000036,,
2025,1776,0.11,0.0040000000000000036,,
2025,1777,0.116,0.0040000000000000036,,
2025,1778,0.11900000000000001,0.0040000000000000036,,
2025,1779,0.12100000000000001,0.0040000000000000036,,
2025,1780,0.12449479166666666,0.004494791666666664,,
2025,1781,0.127,0.0050000000000000044,,
2025,1782,0.128,0.0050000000000000044,,
2025,1783,0.128,0.0050000000000000044,,
2025,1784,0.128,0.0050000000000000044,,
2025,1785,0.127,0.0050000000000000044,,
2025,1786,0.126,0.0050000000000000044,,
2025,1787,0.125,0.0050000000000000044,,
2025,1788,0.124,0.0050000000000000044,,
2025,1789,0.12200000000000001,0.0050000000000000044,,
2025,1790,0.12149479166666667,0.005494791666666665,,
2025,1791,0.124,0.006000000000000005,,
2025,1792,0.125,0.006000000000000005,,
2025,1793,0.127,0.006000000000000005,,
2025,1794,0.128,0.006000000000000005,,
2025,1795,0.13,0.006000000000000005,,
2025,1796,0.13249479166666667,0.006494791666666666,,
2025,1797,0.136,0.007000000000000006,,
2025,1798,0.138,0.007000000000000006,,
2025,1799,0.14049479166666667,0.007494791666666667,,
2025,1800,0.14300000000000002,0.008000000000000007,,
2025,1801,0.14698958333333334,0.008989583333333329,,
2025,1802,0.1565052083333333,0.00950520833333332,,
2025,1803,0.162,0.009000000000000008,,
2025,1804,0.167,0.009000000000000008,,
2025,1805,0.17149479166666667,0.009494791666666669,,
2025,1806,0.17600000000000002,0.010000000000000009,,
2025,1807,0.18100000000000002,0.010000000000000009,,
2025,1808,0.184,0.010000000000000009,,
2025,1809,0.188,0.010000000000000009,,
2025,1810,0.19249479166666666,0.01049479166666667,,
2025,1811,0.199,0.01100000000000001,,
2025,1812,0.203,0.01100000000000001,,
2025,1813,0.20800000000000002,0.01100000000000001,,
2025,1814,0.21149479166666668,0.01149479166666667,,
2025,1815,0.21549479166666669,0.012494791666666671,,
2025,1816,0.22049479166666666,0.013494791666666672,,
2025,1817,0.224,0.014000000000000012,,
2025,1818,0.227,0.014000000000000012,,
2025,1819,0.23,0.014000000000000012,,
2025,1820,0.234,0.014000000000000012,,
2025,1821,0.23449479166666667,0.014494791666666673,,
2025,1822,0.23749479166666668,0.015494791666666674,,
2025,1823,0.23800000000000002,0.016000000000000014,,
2025,1824,0.23949479166666668,0.016494791666666675,,
