year_stocktake,year,total_emission,ff_emission,temp_anth,temp_anth_rel
2020,1882,1.263,0.2539999999999999,287.8819581087444,-0.0005800622271294742
2020,1883,1.24,0.27099999999999996,287.87780234146067,-0.00473582951087792
2020,1884,1.406,0.2739999999999999,287.8776903111581,-0.004847859813423838
2020,1885,1.358,0.2760000000000001,287.88033842102135,-0.0021997499501935636
2020,1886,1.373,0.27999999999999997,287.88145010815407,-0.001088062817473201
2020,1887,1.438,0.29399999999999993,287.8791790250682,-0.0033591459033459614
2020,1888,1.48,0.32499999999999996,287.87255694680766,-0.009981224163880142
2020,1889,1.3390000000000002,0.3250000000000001,287.86429149218003,-0.018246678791513204
2020,1890,1.2970000000000002,0.3540000000000002,287.8631785841821,-0.019359586789448713
2020,1891,1.446,0.37099999999999994,287.86500073351135,-0.01753743746019154
2020,1892,1.358,0.3740000000000001,287.8624185467111,-0.020119624260416913
2020,1893,1.3230000000000002,0.37000000000000016,287.8491036470449,-0.03343452392664403
2020,1894,1.295,0.3819999999999999,287.83218591532983,-0.05035225564171242
2020,1895,1.3790000000000002,0.4060000000000002,287.82485075720876,-0.057687413762778306
2020,1896,1.352,0.41900000000000004,287.81764517572674,-0.0648929952448043
2020,1897,1.3810000000000002,0.43900000000000017,287.809792675623,-0.07274549534855623
2020,1898,1.5170000000000001,0.4630000000000001,287.80425646800387,-0.07828170296767212
2020,1899,1.67,0.5049999999999999,287.8069623385616,-0.07557583240992471
2020,1900,1.9320000000000002,0.5330000000000001,287.8166551178238,-0.06588305314772924
2020,1901,2.021,0.5509999999999999,287.81829749193946,-0.06424067903208197
2020,1902,2.2089999999999996,0.5649999999999997,287.8143582686131,-0.06817990235845173
2020,1903,2.425,0.6169999999999999,287.8167518634167,-0.06578630755484483
2020,1904,2.4939999999999998,0.6229999999999999,287.81848930422444,-0.06404886674710042
2020,1905,2.4459999999999997,0.6639999999999998,287.8169188127482,-0.06561935822332998
2020,1906,2.593,0.6970000000000001,287.8255053006856,-0.057032870285922854
2020,1907,2.596,0.7890000000000001,287.8275081013783,-0.0550300695932151
2020,1908,2.527,0.7590000000000001,287.8336251328867,-0.048913038084833715
2020,1909,2.62,0.7890000000000001,287.8395140689468,-0.04302410202473084
2020,1910,2.752,0.8279999999999998,287.8460088645046,-0.036529306466945854
2020,1911,2.811,0.843,287.85652228829525,-0.026015882676290403
2020,1912,2.955,0.8830000000000001,287.85828365014106,-0.02425452083048185
2020,1913,3.0809999999999995,0.9559999999999995,287.85999457287994,-0.02254359809160178
2020,1914,3.026,0.8669999999999999,287.86299571780734,-0.01954245316420611
2020,1915,3.069,0.8560000000000001,287.86875791938786,-0.013780251583682457
2020,1916,3.0789999999999997,0.9229999999999998,287.8729863501331,-0.009551820838453295
2020,1917,3.125,0.9660000000000001,287.87775947550807,-0.004778695463471649
2020,1918,3.216,0.9520000000000002,287.88152205206734,-0.0010161189042037222
2020,1919,2.891,0.8260000000000001,287.8931023600125,0.010564189040962901
2020,1920,2.764,0.9599999999999999,287.90573146345145,0.02319329247990254
2020,1921,2.476,0.843,287.913416315145,0.0308781441734709
2020,1922,2.335,0.8839999999999999,287.92309181138904,0.04055364041749954
2020,1923,2.11,1.003,287.9389613914319,0.05642322046037407
2020,1924,2.022,1.0069999999999997,287.9542218286486,0.07168365767705609
2020,1925,2.14,1.014,287.97395410989486,0.09141593892331912
2020,1926,2.223,0.9959999999999998,287.9923139021697,0.10977573119816952
2020,1927,2.4259999999999997,1.0879999999999996,288.00975297290125,0.12721480192971057
2020,1928,2.472,1.083,288.02530416953795,0.1427659985664036
2020,1929,2.806,1.163,288.0450221584401,0.16248398746853354
