variable,units,piControl_detrended_std,piControl_drift_per_year,piControl_drift_total_change,piControl_drift_sigma,piControl_drift_abs_sigma,piControl_trend_R2_time,piControl_trend_pvalue,up2p0_R2_vs_emission,up2p0_slope_vs_emission,up2p0_n_regression_years,up2p0_SNR,up2p0_trend_per_year,up2p0_trend_total_change,swl2p0_drift_per_year,swl2p0_drift_total_change,swl2p0_drift_sigma,swl2p0_drift_abs_sigma,swl2p0_trend_R2_time,swl2p0_trend_pvalue,swl4p0_drift_per_year,swl4p0_drift_total_change,swl4p0_drift_sigma,swl4p0_drift_abs_sigma,swl4p0_trend_R2_time,swl4p0_trend_pvalue
tas_global_mean,K,0.1398920784845355,0.0001479124021512,0.0368301881356589,0.2632757232192415,0.2632757232192415,0.005811977781242,0.2297085251427709,0.9811069215732096,0.0003084316190757,225,30.410411876025734,0.018991855914768,4.254175724908042,-0.0001481489958795,-0.044296549767994,-0.3166480207304297,0.3166480207304297,0.0060110462972612,0.1804776206433934,0.0034813100625138,0.9538789571287828,6.818677422354764,6.818677422354764,0.7001524955814081,2.2756257791441847e-73
omega_arag_surface_global_mean,1,0.0172232944034843,7.256346633263974e-05,0.0180683031168272,1.0490619676786097,1.0490619676786097,0.0849352377289041,2.771505152965396e-06,0.9467640393259016,-0.0001372124918857,225,109.8838728728964,-0.0084489388066292,-1.892562292684944,0.0013246206331723,0.3960615693185454,22.99569176721615,22.99569176721615,0.8951869060127682,5.373497185724199e-148,0.0011011954343394,0.3017275490089992,17.51857350519179,17.51857350519179,0.95459642654333,2.4336932250781248e-185
omz_volume_2mgL_global_sum,m3,160404296115392.97,-3361199403549.8306,-836938651483907.8,-5.217682267573581,5.217682267573581,0.6966102946328211,3.5492151119942845e-66,0.279274504368464,-29028507848.10965,225,2.496118781172552,-1787447214796.41,-400388176114395.8,1213964680740.0156,362975439541264.7,2.262878540859931,2.262878540859931,0.1217866908070211,5.107289341087392e-10,14361370005805.604,3935015381590736.0,24.531857792386884,24.531857792386884,0.9672529357586098,1.0272267081355026e-204
lowO2_volume_4p6mgL_global_sum,m3,430417443475091.8,2341671180752.4497,583076124007360.0,1.354675868384276,1.354675868384276,0.1340314453874979,2.400788800135566e-09,0.9680060119919796,2783403085338.2803,225,89.1954646322391,171389660074023.75,3.839128385658132e+16,54240051056610.07,1.6217775265926412e+16,37.67917753283373,37.67917753283373,0.9073650025729194,5.431476215032521e-156,205226552283532.7,5.623207532568796e+16,130.64543776777043,130.64543776777043,0.9982227092853004,0.0
o2_inv_mld_global_sum,mol,205739523029614.8,-909850801321.9452,-226552849529164.38,-1.101163481829175,1.101163481829175,0.0927791546393697,9.149056171052746e-07,0.8853452961316086,-115610432607.26678,225,7.75060901374393,-7118779471771.024,-1594606601676709.5,-206957722805.49683,-61880359118843.56,-0.3007704023399349,0.3007704023399349,0.0418499743831726,0.0003620580001236,-261341333984.2169,-71607525511675.42,-0.348049438713669,0.348049438713669,0.1059593846444317,3.3015558469138496e-08
o2_inv_100m_global_sum,mol,11547014986217.877,-15418622417.728895,-3839236982014.495,-0.332487399262656,0.332487399262656,0.0092374848401795,0.1296315769396607,0.9898978518148775,-28619140685.62149,225,34.18561454870026,-1762240194227.2754,-394741803506909.7,-40793746245.50989,-12197330127407.455,-1.0563188964391037,1.0563188964391037,0.0847660553245428,2.84583666152856e-07,-545752229313.344,-149536110831856.25,-12.950196307040173,12.950196307040173,0.928369372188399,2.6330510189891182e-158
o2_inv_200m_global_sum,mol,23225574217636.168,27659696977.68632,6887264547443.894,0.2965379664203996,0.2965379664203996,0.0073618230424231,0.1762696899924724,0.9882564780561964,-54701023917.673,225,32.48519866723859,-3368247288484.846,-754487392620605.5,-50908158123.45812,-15221539278913.98,-0.6553783831684822,0.6553783831684822,0.0355946822023211,0.0010246162491267,-937507878365.3368,-256877158672102.3,-11.060099365683048,11.060099365683048,0.9024400672075156,5.50985294502237e-140
o2_inv_300m_global_sum,mol,31573256717547.887,87454832744.50224,21776253353381.06,0.6897056438678428,0.6897056438678428,0.0385725087188844,0.0018071568158115,0.9842712482748168,-71947089000.36394,225,31.43043397706944,-4430183753133.719,-992361160701953.0,-105200088420.41876,-31454826437705.207,-0.996249031865729,0.996249031865729,0.0851171650097253,2.682523067551599e-07,-1373499736874.5156,-376338927903617.25,-11.919547333058436,11.919547333058436,0.9125585577928996,1.7684490655731664e-146
o2_inv_500m_global_sum,mol,52835909905188.65,250032334844.755,62258051376344.0,1.1783283658417714,1.1783283658417714,0.1048270588953527,1.6472202980215157e-07,0.9648645199848024,-83259327768.75987,225,21.73502983083713,-5126741419324.547,-1148390077928698.5,-356597709934.4302,-106622715270394.62,-2.01799714364196,2.01799714364196,0.3194621580451873,1.009755409697897e-26,-2458187645141.449,-673543414768757.1,-12.747834114665508,12.747834114665508,0.9090056022990074,4.0693043775214703e-144
o2_inv_700m_global_sum,mol,68832144479734.45,506450407665.9693,126106151508826.36,1.832082270020724,1.832082270020724,0.2206311297110469,4.005407044362247e-15,0.9333740707088998,-72774920456.29765,225,14.583003182513856,-4481157955389.38,-1003779382007221.2,-445084496879.8751,-133080264567082.64,-1.9334028537533667,1.9334028537533667,0.3298319877387682,1.0087839658377296e-27,-3153786505891.238,-864137502614199.1,-12.554272558929474,12.554272558929474,0.817599034006788,7.195202587719569e-103
o2_inv_1000m_global_sum,mol,78245428289815.47,888589786154.4734,221258856752463.88,2.827754433561753,2.827754433561753,0.4027709271367374,1.3825630000837253e-29,0.9211077287556813,-75331385514.25067,225,13.279249002180718,-4638573774744.353,-1039040525542735.0,570827416086.994,170677397410011.22,2.181308239221777,2.181308239221777,0.3970679123211491,1.3269517823368798e-34,-3292601043010.0547,-902172685784755.0,-11.530037032236208,11.530037032236208,0.6569883111102626,2.205611880410279e-65
o2_inv_1500m_global_sum,mol,79968783204247.86,1390643239373.6992,346270166604051.1,4.330066717654616,4.330066717654616,0.6126030545835636,5.507606481822818e-53,0.9374043029243486,-160381197351.70847,225,27.66237694536005,-9875565289543.225,-2212126624857682.5,3023567776814.6016,904046765267566.0,11.304995887689634,11.304995887689634,0.9307119514409732,8.670485209213051e-175,-6272364499487.95,-1718627872859698.2,-21.491234504220973,21.491234504220973,0.9436026061926176,1.7491635935506527e-172
o2_inv_2000m_global_sum,mol,84496985960984.66,1596188567197.475,397450953232171.3,4.703729354508443,4.703729354508443,0.6510852042935625,1.2408958328872444e-58,0.9649604249460908,-325765258775.63135,225,53.17654058841223,-20059184837289.28,-4493257403552799.0,3457533161174.671,1033802415191226.6,12.23478451253363,12.23478451253363,0.8755784892922336,6.800480995567833e-137,-15918764576022.7,-4361741493830220.0,-51.62008377250515,51.62008377250515,0.9832237726598898,2.2797133021774393e-244
o2_inv_total_global_sum,mol,72741461786451.25,-968719986361.7714,-241211276604081.03,-3.3160081015722565,3.3160081015722565,0.4811651103649838,3.3488310306829646e-37,0.965591381154316,-1063073192159.3646,225,201.5754666021759,-65459348664858.3,-1.4662894100928258e+16,-39305422276294.78,-1.175232126061214e+16,-161.56289648280227,161.56289648280227,0.9905428259993776,1.1349133420578402e-303,-87015589660893.2,-2.3842271567084736e+16,-327.7672867927652,327.7672867927652,0.9987009506992932,0.0
o2os_surface_global_mean,mg L-1,0.013232120015151144,-2.2705594124466926e-05,-0.005653692936992264,-0.4272703792376905,0.4272703792376905,0.01516363901043228,0.05181402021167293,0.9804801985105087,-2.6916085813450873e-05,225,28.056856080605314,-0.0016573736022606814,-0.37125168690639265,-5.6772123335584006e-05,-0.016974864877339617,-1.2828530014769308,1.2828530014769308,0.09522075547675801,4.8656548462021696e-08,-0.000544189057633969,-0.14910780179170752,-11.268625255890587,11.268625255890587,0.8873985667179062,1.7577066639547881e-131
