variable,units,piControl_detrended_std,piControl_drift_per_year,piControl_drift_total_change,piControl_drift_sigma,piControl_drift_abs_sigma,piControl_trend_R2_time,piControl_trend_pvalue,up2p0_R2_vs_emission,up2p0_slope_vs_emission,up2p0_n_regression_years,up2p0_SNR,up2p0_trend_per_year,up2p0_trend_total_change,swl2p0_drift_per_year,swl2p0_drift_total_change,swl2p0_drift_sigma,swl2p0_drift_abs_sigma,swl2p0_trend_R2_time,swl2p0_trend_pvalue,swl4p0_drift_per_year,swl4p0_drift_total_change,swl4p0_drift_sigma,swl4p0_drift_abs_sigma,swl4p0_trend_R2_time,swl4p0_trend_pvalue
tas_global_mean,K,0.1398920784845355,0.00014791240215124087,0.03683018813565898,0.2632757232192415,0.2632757232192415,0.005811977781242005,0.22970852514277096,0.9811069215732097,0.00030843161907570266,225,30.410411876025734,0.018991855914768044,4.254175724908042,-0.0001481489958795789,-0.044296549767994096,-0.3166480207304297,0.3166480207304297,0.006011046297261297,0.18047762064339345,0.003481310062513806,0.9538789571287828,6.818677422354764,6.818677422354764,0.7001524955814081,2.2756257791441847e-73
omega_arag_surface_global_mean,1,0.017223294403484368,7.256346633263974e-05,0.018068303116827295,1.0490619676786097,1.0490619676786097,0.08493523772890418,2.771505152965396e-06,0.9467640393259017,-0.00013721249188573624,225,109.88387287289639,-0.008448938806629214,-1.8925622926849441,0.0013246206331723929,0.39606156931854547,22.99569176721615,22.99569176721615,0.8951869060127682,5.373497185724199e-148,0.0011011954343394133,0.30172754900899923,17.51857350519179,17.51857350519179,0.9545964265433301,2.4336932250781248e-185
omz_volume_2mgL_global_sum,m3,160404296115392.97,-3361199403549.8306,-836938651483907.8,-5.217682267573581,5.217682267573581,0.6966102946328211,3.549215111994284e-66,0.279274504368464,-29028507848.10965,225,2.496118781172552,-1787447214796.41,-400388176114395.8,1213964680740.0156,362975439541264.7,2.262878540859931,2.262878540859931,0.1217866908070211,5.107289341087393e-10,14361370005805.605,3935015381590736.0,24.531857792386884,24.531857792386884,0.9672529357586098,1.0272267081355026e-204
lowO2_volume_4p6mgL_global_sum,m3,430417443475091.8,2341671180752.4497,583076124007360.0,1.354675868384276,1.354675868384276,0.13403144538749795,2.4007888001355666e-09,0.9680060119919797,2783403085338.2803,225,89.1954646322391,171389660074023.75,3.839128385658132e+16,54240051056610.07,1.6217775265926412e+16,37.679177532833734,37.679177532833734,0.9073650025729194,5.431476215032521e-156,205226552283532.7,5.623207532568796e+16,130.64543776777043,130.64543776777043,0.9982227092853004,0.0
o2_inv_mld_global_sum,mol,205739523029614.8,-909850801321.9452,-226552849529164.34,-1.101163481829175,1.101163481829175,0.0927791546393697,9.149056171052746e-07,0.8853452961316086,-115610432607.26678,225,7.75060901374393,-7118779471771.024,-1594606601676709.5,-206957722805.49683,-61880359118843.555,-0.3007704023399349,0.3007704023399349,0.04184997438317263,0.00036205800012364486,-261341333984.2169,-71607525511675.42,-0.34804943871366906,0.34804943871366906,0.10595938464443179,3.301555846913849e-08
o2_inv_100m_global_sum,mol,11547014986217.875,-15418622417.728895,-3839236982014.495,-0.332487399262656,0.332487399262656,0.009237484840179576,0.12963157693966074,0.9898978518148777,-28619140685.62149,225,34.18561454870026,-1762240194227.2754,-394741803506909.7,-40793746245.50989,-12197330127407.457,-1.0563188964391037,1.0563188964391037,0.08476605532454284,2.8458366615285597e-07,-545752229313.344,-149536110831856.25,-12.950196307040173,12.950196307040173,0.928369372188399,2.6330510189891182e-158
o2_inv_200m_global_sum,mol,23225574217636.168,27659696977.68632,6887264547443.894,0.29653796642039965,0.29653796642039965,0.007361823042423128,0.1762696899924724,0.9882564780561964,-54701023917.673,225,32.48519866723859,-3368247288484.846,-754487392620605.5,-50908158123.45812,-15221539278913.979,-0.6553783831684822,0.6553783831684822,0.035594682202321176,0.0010246162491267352,-937507878365.3369,-256877158672102.3,-11.060099365683048,11.060099365683048,0.9024400672075157,5.50985294502237e-140
o2_inv_300m_global_sum,mol,31573256717547.887,87454832744.50224,21776253353381.06,0.6897056438678428,0.6897056438678428,0.03857250871888441,0.0018071568158115677,0.9842712482748168,-71947089000.36394,225,31.430433977069438,-4430183753133.719,-992361160701953.0,-105200088420.41875,-31454826437705.207,-0.996249031865729,0.996249031865729,0.08511716500972535,2.682523067551599e-07,-1373499736874.5156,-376338927903617.25,-11.919547333058436,11.919547333058436,0.9125585577928995,1.7684490655731662e-146
o2_inv_500m_global_sum,mol,52835909905188.65,250032334844.755,62258051376344.0,1.1783283658417714,1.1783283658417714,0.10482705889535274,1.6472202980215157e-07,0.9648645199848024,-83259327768.75987,225,21.735029830837135,-5126741419324.547,-1148390077928698.5,-356597709934.4302,-106622715270394.62,-2.01799714364196,2.01799714364196,0.3194621580451873,1.009755409697897e-26,-2458187645141.449,-673543414768757.1,-12.747834114665508,12.747834114665508,0.9090056022990074,4.0693043775214703e-144
o2_inv_700m_global_sum,mol,68832144479734.45,506450407665.9693,126106151508826.36,1.8320822700207242,1.8320822700207242,0.22063112971104695,4.005407044362247e-15,0.9333740707088998,-72774920456.29765,225,14.583003182513856,-4481157955389.38,-1003779382007221.1,-445084496879.87506,-133080264567082.64,-1.9334028537533667,1.9334028537533667,0.32983198773876826,1.0087839658377296e-27,-3153786505891.238,-864137502614199.1,-12.554272558929474,12.554272558929474,0.817599034006788,7.195202587719569e-103
