variable,units,piControl_detrended_std,up2p0_R2_vs_emission,up2p0_slope_vs_emission,up2p0_n_regression_years,up2p0_SNR,up2p0_trend_per_year,up2p0_trend_total_change,swl2p0_drift_per_year,swl2p0_drift_total_change,swl2p0_drift_sigma,swl2p0_drift_abs_sigma,swl2p0_trend_R2_time,swl2p0_trend_pvalue,swl4p0_drift_per_year,swl4p0_drift_total_change,swl4p0_drift_sigma,swl4p0_drift_abs_sigma,swl4p0_trend_R2_time,swl4p0_trend_pvalue
tas_global_mean,K,0.1398920784845355,0.9811069215732097,0.00030843161907570266,225,30.410411876025734,0.018991855914768044,4.254175724908042,-0.0001481489958795789,-0.044296549767994096,-0.3166480207304297,0.3166480207304297,0.006011046297261297,0.18047762064339345,0.003481310062513806,0.9538789571287828,6.818677422354764,6.818677422354764,0.7001524955814081,2.2756257791441847e-73
omega_arag_surface_global_mean,1,0.017223294403484368,0.9467640393259017,-0.00013721249188573624,225,109.88387287289639,-0.008448938806629214,-1.8925622926849441,0.0013246206331723929,0.39606156931854547,22.99569176721615,22.99569176721615,0.8951869060127682,5.373497185724199e-148,0.0011011954343394133,0.30172754900899923,17.51857350519179,17.51857350519179,0.9545964265433301,2.4336932250781248e-185
omz_volume_2mgL_global_sum,m3,160404296115392.97,0.279274504368464,-29028507848.10965,225,2.496118781172552,-1787447214796.41,-400388176114395.8,1213964680740.0156,362975439541264.7,2.262878540859931,2.262878540859931,0.1217866908070211,5.107289341087393e-10,14361370005805.605,3935015381590736.0,24.531857792386884,24.531857792386884,0.9672529357586098,1.0272267081355026e-204
lowO2_volume_4p6mgL_global_sum,m3,430417443475091.8,0.9680060119919797,2783403085338.2803,225,89.1954646322391,171389660074023.75,3.839128385658132e+16,54240051056610.07,1.6217775265926412e+16,37.679177532833734,37.679177532833734,0.9073650025729194,5.431476215032521e-156,205226552283532.7,5.623207532568796e+16,130.64543776777043,130.64543776777043,0.9982227092853004,0.0
